Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma/LOD,Ag CPS/uA,As,As 2-Sigma/LOD,As CPS/uA,Au,Au 2-Sigma/LOD,Au CPS/uA,Bal,Bal 2-Sigma/LOD,Bi,Bi 2-Sigma/LOD,Bi CPS/uA,Cd,Cd 2-Sigma/LOD,Cd CPS/uA,Co,Co 2-Sigma/LOD,Co CPS/uA,Cr,Cr 2-Sigma/LOD,Cr CPS/uA,Cu,Cu 2-Sigma/LOD,Cu CPS/uA,Fe,Fe 2-Sigma/LOD,Fe CPS/uA,Hf,Hf 2-Sigma/LOD,Hf CPS/uA,Hg,Hg 2-Sigma/LOD,Hg CPS/uA,Mn,Mn 2-Sigma/LOD,Mn CPS/uA,Mo,Mo 2-Sigma/LOD,Mo CPS/uA,Nb,Nb 2-Sigma/LOD,Nb CPS/uA,Ni,Ni 2-Sigma/LOD,Ni CPS/uA,Pb,Pb 2-Sigma/LOD,Pb CPS/uA,Pd,Pd 2-Sigma/LOD,Pd CPS/uA,Rb,Rb 2-Sigma/LOD,Rb CPS/uA,Re,Re 2-Sigma/LOD,Re CPS/uA,Sb,Sb 2-Sigma/LOD,Sb CPS/uA,Se,Se 2-Sigma/LOD,Se CPS/uA,Sn,Sn 2-Sigma/LOD,Sn CPS/uA,Sr,Sr 2-Sigma/LOD,Sr CPS/uA,Ta,Ta 2-Sigma/LOD,Ta CPS/uA,Th,Th 2-Sigma/LOD,Th CPS/uA,Ti,Ti 2-Sigma/LOD,Ti CPS/uA,U,U 2-Sigma/LOD,U CPS/uA,V,V 2-Sigma/LOD,V CPS/uA,W,W 2-Sigma/LOD,W CPS/uA,Y,Y 2-Sigma/LOD,Y CPS/uA,Zn,Zn 2-Sigma/LOD,Zn CPS/uA,Zr,Zr 2-Sigma/LOD,Zr CPS/uA,Al,Al 2-Sigma/LOD,Al CPS/uA,Ba,Ba 2-Sigma/LOD,Ba CPS/uA,Ca,Ca 2-Sigma/LOD,Ca CPS/uA,Cl,Cl 2-Sigma/LOD,Cl CPS/uA,K,K 2-Sigma/LOD,K CPS/uA,Mg,Mg 2-Sigma/LOD,Mg CPS/uA,P,P 2-Sigma/LOD,P CPS/uA,S,S 2-Sigma/LOD,S CPS/uA,Si,Si 2-Sigma/LOD,Si CPS/uA,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
1,Mining,30.22,28.23,,,,"Thu Apr 2, 2026 - 09:50:15",User,1.5,ppm,,,,,,Mining,539.8127 , 458.5380,12.3461,<LOD,19.4559,0.2421,<LOD,26.0265,0.0591,117835.8438 , 15245.8262,<LOD,13.1716,0.1069,<LOD,34.2652,4.9172,<LOD,477.6926,230.5099,8990.1416 , 108.0565,22.7372,1671.0807 , 62.5774,1.5761,861828.6250 , 623.5049,1552.3694,<LOD,0.0000,0.0000,<LOD,25.2389,0.1373,2921.7109 , 123.7367,11.0947,4313.8330 , 25.4905,51.3709,<LOD,6.1882,0.8163,1281.4769 , 151.9188,0.8973,191.8354 , 17.0132,0.7545,<LOD,34.9679,5.8887,<LOD,3.8572,-0.0686,<LOD,0.0000,0.0000,<LOD,58.9348,5.6754,<LOD,6.6036,0.0953,129.1851 , 29.5119,6.7116,<LOD,2.5847,0.1575,<LOD,0.0000,0.0000,<LOD,19.6282,-1.2238,296.4749 , 89.1729,1.6652,<LOD,4.5369,-0.0437,<LOD,217.4846,1.4861,<LOD,74.9901,0.1757,<LOD,4.3249,0.2830,<LOD,23.6620,0.1775,<LOD,3.2267,0.4108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mining,120.60,30.11,30.25,30.11,28.64,"Thu Apr 2, 2026 - 11:19:26",User,1.5,ppm,,,,,,Mining,<LOD,1.4193,0.6265,<LOD,1.3760,0.2256,<LOD,3.0379,0.1029,459249.1250 , 5828.8921,<LOD,1.3053,0.1307,<LOD,2.1686,1.1619,<LOD,52.9548,9.7846,113.8645 , 5.2589,3.0428,10.1930 , 2.8051,0.3353,26141.2930 , 136.5689,60.6921,<LOD,0.0000,0.0000,4.3983 , 1.8561,0.2355,350.8063 , 25.3930,1.0203,<LOD,0.9902,4.3425,3.1500 , 0.5533,2.8099,<LOD,7.1255,0.2608,5.7889 , 0.9585,0.2987,<LOD,1.2403,0.4258,34.8548 , 1.0799,1.8410,<LOD,0.0000,0.0000,<LOD,4.0893,3.5485,<LOD,0.8224,0.1962,15.3573 , 2.2649,3.0847,234.3873 , 1.4701,14.0270,<LOD,0.0000,0.0000,2.5815 , 0.7303,0.2957,5802.6035 , 41.8901,19.1856,2.0291 , 0.9622,0.5219,174.6013 , 11.5682,3.4619,<LOD,6.2917,0.1626,14.9593 , 0.6867,2.3530,35.9347 , 2.5973,0.5491,100.0375 , 1.1835,11.3229,129899.2422 , 2396.7522,2.7919,388.0990 , 20.4167,15.8801,32349.3047 , 201.8531,39.6377,<LOD,46.8322,0.7691,6656.4097 , 86.6246,4.4072,29304.6504 , 3831.1028,0.0906,794.8021 , 129.0094,0.2301,9305.5420 , 92.2132,3.4078,299006.0000 , 783.1284,28.0997,5,406.600006,39.001751,-122.662125,10.000000,529256.187500,4317025.000000,
3,Mining,120.61,30.23,30.09,30.16,30.13,"Thu Apr 2, 2026 - 11:22:12",User,1.5,ppm,,,,,,Mining,<LOD,1.4252,0.6451,<LOD,1.5780,0.3257,<LOD,3.0627,0.1074,391211.0938 , 6165.6533,<LOD,1.3540,0.1451,<LOD,2.1750,1.1847,<LOD,53.2293,12.0355,113.4317 , 5.7789,3.2108,5.9078 , 2.6943,0.3209,31370.6914 , 170.8935,75.8064,<LOD,0.0000,0.0000,10.0799 , 2.0978,0.3123,450.6294 , 26.8448,1.2364,<LOD,1.0216,4.6766,5.1979 , 0.5646,2.9616,<LOD,7.5280,0.2938,9.8828 , 1.0546,0.3732,<LOD,1.3545,0.5265,41.9105 , 1.1726,2.2096,<LOD,0.0000,0.0000,<LOD,4.2155,3.8689,<LOD,0.8542,0.2197,20.7460 , 2.3438,3.4020,284.5301 , 1.7120,17.1533,<LOD,0.0000,0.0000,4.1757 , 0.7782,0.3542,6793.1592 , 50.9493,23.5217,3.8977 , 1.0325,0.6160,175.9894 , 13.3307,4.0607,<LOD,7.0743,0.2144,14.9127 , 0.6972,2.4604,34.1420 , 2.5533,0.5495,123.0053 , 1.3207,13.6754,147022.2500 , 2452.6418,3.1522,459.6742 , 21.2884,17.6791,39475.2188 , 249.4913,51.4270,<LOD,45.1886,0.8229,8010.2988 , 101.4305,5.5942,44399.6367 , 4063.5342,0.1154,631.7516 , 121.7039,0.2344,3101.6567 , 54.4879,1.3544,326226.1562 , 846.4215,33.4500,6,415.399994,39.001736,-122.661964,10.000000,529270.375000,4317023.500000,
4,Mining,120.64,30.15,30.26,30.05,30.18,"Thu Apr 2, 2026 - 11:24:58",User,1.5,ppm,,,,,,Mining,<LOD,1.4840,0.6153,<LOD,1.5491,0.2446,<LOD,3.2221,0.0983,385354.8438 , 7124.5098,<LOD,1.4798,0.1433,<LOD,2.2377,1.1003,<LOD,56.4035,11.2001,117.2259 , 5.9636,3.0841,5.9049 , 2.8482,0.2966,31760.3965 , 179.4501,70.2127,<LOD,0.0000,0.0000,5.4582 , 2.0387,0.2402,364.9055 , 26.8927,1.0269,<LOD,1.0697,4.2238,5.5166 , 0.6012,2.7816,<LOD,7.8002,0.2532,8.6009 , 1.0798,0.3231,<LOD,1.3564,0.4615,33.4450 , 1.1416,1.6968,<LOD,0.0000,0.0000,<LOD,4.3050,3.5082,<LOD,0.8954,0.1998,13.1687 , 2.3797,3.0454,287.4416 , 1.8100,15.8324,<LOD,0.0000,0.0000,1.8481 , 0.7983,0.2868,6549.8384 , 51.0193,20.8357,4.3744 , 1.0824,0.5610,178.0571 , 13.3778,3.6654,<LOD,7.1375,0.1799,17.0053 , 0.7386,2.2976,47.8478 , 2.9402,0.6024,112.2952 , 1.3433,11.8112,134123.9688 , 2748.8596,2.8894,449.3266 , 21.8477,16.2412,41145.8789 , 257.9177,49.1972,<LOD,49.1577,0.7961,7221.7529 , 98.0308,4.6989,48517.5781 , 4660.9492,0.1250,919.8775 , 141.4264,0.2653,11103.9043 , 103.3084,3.9201,331649.5625 , 872.8544,31.7073,4,414.200012,39.001556,-122.661728,10.000000,529290.625000,4317003.500000,
5,Mining,120.39,30.22,30.02,30.02,28.94,"Thu Apr 2, 2026 - 11:27:45",User,1.5,ppm,,,,,,Mining,<LOD,1.3581,0.6333,<LOD,1.3723,0.2722,<LOD,2.8282,0.0998,444203.1875 , 5678.7168,<LOD,1.2195,0.1276,<LOD,2.0493,1.1429,<LOD,53.1419,13.3230,123.6024 , 6.0294,3.4595,9.3161 , 2.6532,0.3382,33871.1914 , 167.8014,84.0454,<LOD,0.0000,0.0000,<LOD,2.5562,0.2125,512.1501 , 26.6766,1.3623,<LOD,0.9374,4.4245,4.1814 , 0.5264,2.9199,<LOD,7.0234,0.2503,4.6705 , 0.9034,0.2961,<LOD,1.1761,0.4223,35.3100 , 1.0414,1.9014,<LOD,0.0000,0.0000,<LOD,3.8719,3.5082,<LOD,0.7754,0.1946,17.5742 , 2.1482,3.0553,261.2306 , 1.5492,16.0038,<LOD,0.0000,0.0000,3.9764 , 0.7092,0.3227,5956.2593 , 47.4635,21.1834,<LOD,2.0738,0.5279,166.9721 , 13.0190,3.7655,<LOD,6.4620,0.1940,13.8992 , 0.6514,2.3441,37.3099 , 2.5063,0.5748,97.4767 , 1.1555,11.7289,130360.5859 , 2311.5598,2.8066,354.1916 , 19.2068,15.2579,39816.2188 , 249.5396,53.2164,<LOD,45.1256,0.8268,7615.7964 , 101.5867,5.4716,40549.1836 , 4026.8674,0.1091,903.9081 , 130.0074,0.2743,1829.2034 , 45.8636,0.9466,293252.5938 , 796.3525,29.8529,4,422.399994,39.002544,-122.662094,10.000000,529258.625000,4317113.000000,
6,Mining,120.53,30.27,30.04,30.13,30.09,"Thu Apr 2, 2026 - 11:30:39",User,1.5,ppm,,,,,,Mining,<LOD,1.5092,0.6004,<LOD,1.4304,0.2086,<LOD,3.1954,0.0972,470644.9375 , 6768.4258,<LOD,1.3635,0.1224,<LOD,2.2909,1.0953,<LOD,59.0674,12.7892,109.4185 , 6.2933,3.1301,14.5074 , 3.0826,0.3534,36168.1328 , 195.1328,82.4447,<LOD,0.0000,0.0000,48.4401 , 3.0546,0.5936,1995.0610 , 47.7383,3.4074,<LOD,1.0697,4.2000,4.1512 , 0.6124,2.8603,<LOD,8.6093,0.3326,4.8314 , 1.0051,0.2802,<LOD,1.3336,0.4188,33.7055 , 1.1478,1.6912,<LOD,0.0000,0.0000,<LOD,4.3411,3.3699,<LOD,0.8311,0.1666,15.8616 , 2.3994,2.9083,254.0457 , 1.6690,14.0614,<LOD,0.0000,0.0000,3.7203 , 0.7802,0.2924,5574.8159 , 48.7580,18.2559,3.4757 , 1.1302,0.5992,148.7000 , 13.2481,3.2375,<LOD,7.4801,0.1998,27.9631 , 0.8345,2.9398,101.5097 , 3.7524,0.9913,97.4078 , 1.2578,10.5061,107014.9062 , 2564.8979,2.3477,356.7407 , 21.5187,14.4650,71070.7578 , 360.9438,93.0295,<LOD,52.8925,0.9379,6256.0864 , 94.9854,4.5850,42716.7578 , 5169.1016,0.1283,650.9056 , 143.2111,0.2671,28837.5449 , 174.0620,11.0283,227845.6094 , 773.0034,22.5967,,,,,,,,
7,Mining,120.44,30.05,30.28,30.06,30.05,"Thu Apr 2, 2026 - 11:55:29",User,1.5,ppm,,,,,,Mining,<LOD,1.4857,0.6370,<LOD,1.5480,0.2480,<LOD,3.2727,0.1064,392800.7500 , 6558.8867,<LOD,1.4456,0.1429,<LOD,2.2132,1.1026,<LOD,88.8382,10.3006,128.1255 , 5.7257,3.1405,14.8843 , 3.0478,0.3537,28289.1367 , 154.0963,63.2090,<LOD,0.0000,0.0000,9.5583 , 2.1580,0.2862,383.9155 , 27.1206,1.0562,<LOD,1.0621,4.3765,5.1752 , 0.5958,2.8662,<LOD,7.9050,0.2943,9.8800 , 1.0984,0.3501,<LOD,1.3863,0.4994,39.9365 , 1.1928,1.9904,<LOD,0.0000,0.0000,<LOD,4.3431,3.6991,<LOD,0.8818,0.1996,15.4999 , 2.4109,3.2479,267.8196 , 1.6692,15.2042,<LOD,0.0000,0.0000,3.6403 , 0.8156,0.3307,6216.8105 , 46.4820,19.8626,3.2721 , 1.0573,0.5592,159.7900 , 12.4082,3.4569,<LOD,7.1751,0.1894,20.3981 , 0.7712,2.6325,36.5971 , 2.7302,0.5414,117.6235 , 1.3272,12.3315,149125.4375 , 2622.5522,3.1918,446.4742 , 21.9478,17.0112,33423.5820 , 217.5466,39.5704,<LOD,47.5549,0.7811,7227.5503 , 94.4643,4.6247,31767.5137 , 3928.3579,0.0950,848.8442 , 131.0804,0.2395,9457.1016 , 92.1079,3.3208,339180.6875 , 830.2101,32.0851,4,420.000000,39.001678,-122.661888,10.000000,529277.000000,4317017.000000,
8,Mining,120.42,30.21,30.03,30.06,28.00,"Thu Apr 2, 2026 - 11:58:32",User,1.5,ppm,,,,,,Mining,<LOD,1.4447,0.6387,<LOD,1.4311,0.2650,<LOD,2.8214,0.0914,407528.4062 , 6163.9731,<LOD,1.3112,0.1358,<LOD,2.1870,1.1597,<LOD,59.2836,16.3859,122.7462 , 6.2433,3.5121,16.5521 , 2.8754,0.3683,42506.7617 , 220.2787,106.2381,<LOD,0.0000,0.0000,<LOD,4.1110,0.2165,1258.1493 , 36.8665,2.5813,<LOD,0.9516,4.1453,4.2441 , 0.5407,2.8063,<LOD,7.6768,0.2559,6.5459 , 0.9652,0.3111,<LOD,1.2506,0.4260,32.7571 , 1.0411,1.7208,<LOD,0.0000,0.0000,<LOD,4.0953,3.4495,<LOD,0.7530,0.1660,14.7216 , 2.2766,3.0330,248.1048 , 1.5940,14.6621,<LOD,0.0000,0.0000,2.4780 , 0.7255,0.2923,5266.5444 , 47.2246,19.0127,<LOD,2.1802,0.4977,167.7121 , 13.0075,3.5253,<LOD,6.5430,0.1834,16.2269 , 0.6845,2.3649,42.1581 , 2.6502,0.5939,91.9972 , 1.1678,10.7224,138788.6875 , 2525.6602,2.9859,359.7682 , 20.5190,15.2808,46529.3125 , 288.2762,63.6966,<LOD,45.2134,0.7915,6629.1870 , 98.6511,4.9539,47155.4961 , 4477.4502,0.1230,786.9581 , 130.7872,0.2637,6270.3442 , 77.4581,2.6344,296154.0938 , 849.1004,31.1745,5,434.899994,39.001862,-122.661903,10.000000,529275.812500,4317037.500000,
9,Mining,120.54,30.25,30.17,30.06,28.86,"Thu Apr 2, 2026 - 12:01:20",User,1.5,ppm,,,,,,Mining,<LOD,1.5808,0.6152,<LOD,1.6088,0.2524,<LOD,3.4265,0.1056,405640.5625 , 7044.9858,<LOD,1.5683,0.1526,<LOD,2.4071,1.1260,<LOD,58.6330,11.7514,116.3431 , 6.0446,2.9839,17.3689 , 3.1805,0.3517,34397.9648 , 177.3198,74.0808,<LOD,0.0000,0.0000,6.1742 , 2.1319,0.2483,421.9150 , 28.1172,1.0945,<LOD,1.0979,4.1891,5.7027 , 0.6136,2.7293,<LOD,8.2163,0.2681,8.9581 , 1.1145,0.3258,<LOD,1.4187,0.4437,39.6655 , 1.2273,1.8841,<LOD,0.0000,0.0000,<LOD,4.5898,3.5056,<LOD,0.9279,0.2008,10.8253 , 2.5259,3.0121,299.7311 , 1.8215,15.8634,<LOD,0.0000,0.0000,3.0093 , 0.8580,0.3189,7011.0103 , 51.4882,21.5192,4.7711 , 1.1195,0.5676,186.3809 , 13.8671,3.7272,<LOD,7.5207,0.1898,16.1149 , 0.7519,2.2437,46.7212 , 2.9715,0.5844,122.8053 , 1.3948,12.1845,133841.1406 , 2764.2124,2.8744,484.8009 , 23.3576,16.4479,39740.5273 , 247.5089,46.3608,<LOD,49.4468,0.7997,8015.5732 , 104.1370,5.0538,40098.6484 , 4430.1021,0.1075,824.6643 , 134.2975,0.2361,5260.8604 , 71.9749,1.9329,323377.7500 , 824.9766,29.6572,,,,,,,,
10,Mining,120.37,30.00,30.10,30.16,28.88,"Thu Apr 2, 2026 - 12:04:38",User,1.5,ppm,,,,,,Mining,<LOD,1.3353,0.6335,<LOD,1.4015,0.2533,<LOD,3.0284,0.1092,409804.2812 , 6080.5366,<LOD,1.2959,0.1375,<LOD,2.0317,1.1624,<LOD,52.3782,11.9542,112.1673 , 5.6154,3.3153,8.1821 , 2.6986,0.3332,30778.1680 , 173.1085,76.3522,<LOD,0.0000,0.0000,5.9895 , 1.9174,0.2680,395.7951 , 25.7486,1.1682,<LOD,0.9882,4.5624,3.7984 , 0.5498,2.9228,<LOD,7.0232,0.2476,6.7542 , 0.9695,0.3259,<LOD,1.1789,0.4405,36.2505 , 1.1020,2.0075,<LOD,0.0000,0.0000,<LOD,3.8215,3.5067,<LOD,0.7994,0.1945,9.1940 , 2.1053,3.0071,258.9191 , 1.6276,16.1169,<LOD,0.0000,0.0000,3.2971 , 0.7374,0.3258,6388.4170 , 48.6574,22.7097,3.5342 , 0.9924,0.5901,174.3222 , 12.6652,3.9870,<LOD,6.5545,0.1901,14.3433 , 0.6769,2.4102,33.6491 , 2.5161,0.5517,103.2672 , 1.2240,12.2979,143341.1562 , 2494.3943,3.0839,352.6030 , 19.1635,15.6898,41599.5703 , 256.3730,55.7545,<LOD,47.7649,0.8539,7582.1460 , 96.4134,5.4704,41795.5547 , 4265.7183,0.1165,979.2660 , 139.5757,0.2935,11560.2822 , 105.0056,4.5711,304649.1562 , 861.6796,31.9079,,,,,,,,
11,Mining,120.41,30.08,30.11,30.04,28.96,"Thu Apr 2, 2026 - 12:07:59",User,1.5,ppm,,,,,,Mining,<LOD,1.7386,0.5613,<LOD,1.6359,0.1956,<LOD,3.4003,0.0773,521106.6875 , 6552.6938,<LOD,1.5040,0.1039,<LOD,2.6665,1.0429,<LOD,59.2855,8.5780,65.3742 , 4.8608,1.8564,<LOD,5.3005,0.2477,30223.7168 , 128.4413,54.5287,<LOD,0.0000,0.0000,19.0755 , 2.6263,0.2973,<LOD,31.4020,0.4181,<LOD,1.1225,3.3776,2.5562 , 0.6168,2.1538,<LOD,8.6663,0.2322,6.0716 , 1.1216,0.2457,<LOD,1.5107,0.3770,14.4816 , 0.9511,0.7575,<LOD,0.0000,0.0000,<LOD,5.1561,3.3896,<LOD,0.8986,0.1380,19.0776 , 2.8445,2.9267,264.2191 , 1.6560,12.0849,<LOD,0.0000,0.0000,2.3159 , 0.8200,0.2169,5128.6543 , 38.3333,13.2227,<LOD,2.1558,0.4207,118.6417 , 11.0793,2.2694,<LOD,7.4563,0.1372,1.7248 , 0.6063,1.0870,<LOD,3.0088,0.1940,94.8846 , 1.3128,8.7159,91472.6250 , 2569.2576,1.9852,505.6579 , 25.7669,15.2898,20120.4629 , 155.9804,18.7762,<LOD,53.6359,0.6817,3675.4734 , 72.4137,2.0444,13259.8027 , 3857.9434,0.0600,375.4917 , 126.6466,0.1399,18289.8359 , 130.7985,4.8836,295233.1562 , 729.2505,20.8433,5,436.100006,39.001732,-122.662041,10.000000,529263.750000,4317023.000000,
12,Mining,120.45,30.11,30.12,30.06,30.16,"Thu Apr 2, 2026 - 12:11:50",User,1.5,ppm,,,,,,Mining,<LOD,1.4469,0.6601,<LOD,1.4508,0.2726,<LOD,3.1056,0.1130,371229.7812 , 6510.1099,<LOD,1.3238,0.1408,<LOD,2.1879,1.1922,<LOD,50.2655,10.5447,119.4122 , 5.8061,3.1948,18.6718 , 2.9306,0.3846,27823.9258 , 164.0299,65.7158,<LOD,0.0000,0.0000,6.9651 , 1.9816,0.2795,375.8236 , 25.3918,1.0816,<LOD,0.9878,4.4568,5.4015 , 0.5592,2.9752,<LOD,7.1875,0.2779,7.9387 , 0.9863,0.3314,<LOD,1.2681,0.4516,37.3899 , 1.1086,1.9944,<LOD,0.0000,0.0000,<LOD,4.1638,3.7108,<LOD,0.8034,0.1904,15.0022 , 2.3090,3.2445,263.2981 , 1.6501,15.8263,<LOD,0.0000,0.0000,3.0549 , 0.7427,0.3203,6278.0303 , 49.4347,21.1121,3.6713 , 0.9932,0.5804,164.5032 , 12.8243,3.6720,<LOD,6.8742,0.2050,19.0507 , 0.7134,2.6368,32.3688 , 2.4971,0.5317,107.3252 , 1.2382,12.2139,159962.5938 , 2663.6406,3.4233,427.7613 , 21.0634,17.0372,36701.0977 , 245.9970,46.2358,<LOD,48.1987,0.8276,7221.8315 , 97.6899,4.9215,40877.8984 , 4191.9922,0.1140,855.6900 , 133.5391,0.2556,12337.5215 , 108.0442,4.5522,335103.9375 , 898.0463,33.8363,6,427.500000,39.001690,-122.661995,10.000000,529268.062500,4317018.500000,
13,Mining,120.39,30.05,30.14,30.05,28.94,"Thu Apr 2, 2026 - 12:14:29",User,1.5,ppm,,,,,,Mining,<LOD,1.4854,0.5828,<LOD,1.5135,0.2642,<LOD,2.9816,0.0898,466791.9062 , 5923.5952,<LOD,1.3780,0.1323,<LOD,2.2524,1.0634,<LOD,62.7629,16.6311,107.6245 , 6.4078,3.3006,15.9999 , 3.0016,0.3549,45214.6523 , 198.4421,107.0607,<LOD,0.0000,0.0000,2.8245 , 1.9137,0.2220,1167.0525 , 36.6579,2.3357,<LOD,1.0219,4.1029,4.5829 , 0.5865,2.8186,<LOD,8.1831,0.2553,6.4995 , 1.0133,0.3024,<LOD,1.2370,0.3575,35.3661 , 1.1087,1.7350,<LOD,0.0000,0.0000,<LOD,4.2272,3.1924,<LOD,0.8026,0.1672,16.0837 , 2.3413,2.7738,260.8878 , 1.6007,14.4259,<LOD,0.0000,0.0000,2.6934 , 0.7650,0.2875,5534.8345 , 48.0578,18.9673,1.8769 , 0.9947,0.5001,171.8127 , 13.6791,3.4978,<LOD,7.0146,0.1863,22.1011 , 0.7653,2.6233,46.3321 , 2.8320,0.6004,96.3472 , 1.2115,10.5180,116684.3906 , 2362.6416,2.5223,370.7221 , 21.0645,14.0675,45424.3047 , 272.2879,58.9172,<LOD,46.3958,0.8283,6764.9180 , 101.9346,4.7997,35404.9336 , 4227.3857,0.1014,1080.5378 , 144.8302,0.3215,6241.5479 , 75.7554,2.5095,268529.1562 , 752.0596,26.0968,7,432.000000,39.001781,-122.661987,10.000000,529268.625000,4317028.500000,
14,Mining,120.30,30.01,30.07,30.13,30.09,"Thu Apr 2, 2026 - 12:17:28",User,1.5,ppm,,,,,,Mining,<LOD,1.4613,0.6164,<LOD,1.5079,0.2637,<LOD,3.0422,0.0943,391344.5000 , 6850.4785,<LOD,1.4118,0.1404,<LOD,2.1992,1.0977,<LOD,62.7101,16.8610,117.9017 , 6.5673,3.4446,21.9198 , 3.1529,0.3953,45975.9062 , 241.3900,111.0019,<LOD,0.0000,0.0000,12.5871 , 2.2111,0.3109,401.9928 , 26.3514,1.2154,<LOD,1.0203,4.1996,5.1507 , 0.5692,2.7460,<LOD,8.4227,0.2849,6.0466 , 1.0131,0.3053,<LOD,1.3454,0.4701,35.9390 , 1.1272,1.7867,<LOD,0.0000,0.0000,<LOD,4.2690,3.5933,<LOD,0.8365,0.1853,17.5248 , 2.3508,3.0756,284.1621 , 1.8044,15.9995,<LOD,0.0000,0.0000,3.1713 , 0.7843,0.3062,5527.4897 , 50.7160,19.3592,<LOD,2.2512,0.5248,158.4234 , 13.7969,3.5060,<LOD,7.3018,0.2042,15.3913 , 0.7107,2.2612,41.4898 , 2.7687,0.5784,109.2300 , 1.3122,11.8030,139643.2656 , 2699.8010,3.0036,472.4842 , 21.6249,16.3885,35652.0430 , 260.1112,46.2921,<LOD,47.9374,0.8292,6528.8828 , 103.5906,4.6309,53169.4258 , 4755.9380,0.1343,842.9417 , 137.1660,0.2717,12383.4482 , 108.5645,4.6647,307228.6875 , 874.9029,30.9457,,,,,,,,
15,Mining,120.74,30.31,30.09,30.11,30.23,"Thu Apr 2, 2026 - 12:20:08",User,1.5,ppm,,,,,,Mining,<LOD,1.4146,0.5867,<LOD,1.4211,0.2388,<LOD,3.0275,0.0992,449492.8438 , 6218.4126,<LOD,1.2909,0.1247,<LOD,2.1496,1.0678,<LOD,57.4710,13.9208,103.4236 , 6.0429,3.1378,8.3822 , 2.7744,0.3245,37341.7227 , 192.4597,88.3087,<LOD,0.0000,0.0000,32.6621 , 2.5896,0.4791,1170.1875 , 36.6464,2.3078,<LOD,1.0085,4.2718,4.0860 , 0.5722,2.8586,<LOD,7.8800,0.2903,6.1651 , 0.9844,0.3062,<LOD,1.2647,0.4198,32.9814 , 1.0779,1.7121,<LOD,0.0000,0.0000,<LOD,4.1338,3.4025,<LOD,0.8059,0.1809,14.8752 , 2.2872,2.9505,256.8820 , 1.6105,14.7531,<LOD,0.0000,0.0000,3.6066 , 0.7396,0.2994,5413.1611 , 46.8278,18.4151,2.6670 , 1.0377,0.5781,162.3717 , 12.9221,3.3545,<LOD,6.8189,0.1885,20.5434 , 0.7350,2.5944,68.3012 , 3.1207,0.7800,97.0700 , 1.2023,10.9094,125841.3438 , 2548.7942,2.7388,387.2465 , 20.7173,15.1759,58516.3633 , 318.1216,77.4364,<LOD,53.8017,0.9937,6535.3628 , 95.9654,4.7913,28261.8379 , 4579.8926,0.1056,669.7579 , 147.5311,0.2888,32405.2402 , 184.0356,12.4594,253150.9219 , 790.8604,25.9108,,,,,,,,
16,Mining,120.26,30.28,30.08,30.04,29.86,"Thu Apr 2, 2026 - 12:22:44",User,1.5,ppm,,,,,,Mining,<LOD,1.8468,0.5543,<LOD,1.8237,0.2360,<LOD,3.8231,0.0879,491929.2188 , 7244.6416,<LOD,1.7124,0.1223,<LOD,2.7937,0.9951,<LOD,76.6958,15.9500,96.4517 , 5.7162,2.4422,44.1254 , 4.2135,0.4209,52586.0547 , 186.6417,101.0125,<LOD,0.0000,0.0000,14.3460 , 2.7239,0.2767,1124.9934 , 41.2505,1.9140,<LOD,1.2188,3.4082,2.7934 , 0.6878,2.2634,<LOD,10.6802,0.2785,5.4724 , 1.1947,0.2503,<LOD,1.5953,0.3685,28.5279 , 1.2145,1.1962,<LOD,0.0000,0.0000,<LOD,5.3986,3.1851,<LOD,1.0633,0.1780,18.3086 , 2.9954,2.8086,273.3695 , 1.7762,11.8571,<LOD,0.0000,0.0000,2.9712 , 0.9277,0.2450,5430.1538 , 42.8638,15.0967,4.4053 , 1.2369,0.4588,126.9863 , 12.2507,2.6062,<LOD,10.2218,0.1981,27.9929 , 0.9278,2.3255,85.9034 , 4.0235,0.7287,103.6748 , 1.4105,8.7844,90546.7109 , 2632.4797,1.9647,566.6252 , 27.5233,15.1023,36522.0156 , 216.9775,37.9109,<LOD,47.7753,0.6879,5721.9761 , 89.8104,3.3503,34260.2188 , 4647.5527,0.0927,684.4427 , 124.7907,0.1837,6540.3662 , 77.5535,2.1009,273251.9062 , 702.6838,21.0905,,,,,,,,
